model,feature_matrix,accuracy,precision,recall,f1_score
Multinomial Naive Bayes,word_2_1000,0.936,0.92125984,0.95121951,0.936
Multinomial Naive Bayes,word_3_1000,0.924,0.9,0.95121951,0.92490118
Multinomial Naive Bayes,word_1_2000,0.972,0.96031746,0.98373984,0.97188755
Multinomial Naive Bayes,word_2_2000,0.968,0.96,0.97560976,0.96774194
Multinomial Naive Bayes,word_3_2000,0.932,0.94166667,0.91869919,0.93004116
Multinomial Naive Bayes,word_1_3000,0.98,0.9609375,1.0,0.98007968
Multinomial Naive Bayes,word_2_3000,0.976,0.97560976,0.97560976,0.97560976
Multinomial Naive Bayes,word_3_3000,0.92,0.93277311,0.90243902,0.91735537
Multinomial Naive Bayes,word_1_4000,0.988,0.97619048,1.0,0.98795181
Multinomial Naive Bayes,word_2_4000,0.98,0.99166667,0.96747967,0.97942387
Multinomial Naive Bayes,word_3_4000,0.932,0.94915254,0.91056911,0.92946058
Multinomial Naive Bayes,word_1_5000,0.988,0.97619048,1.0,0.98795181
Multinomial Naive Bayes,word_2_5000,0.98,0.99166667,0.96747967,0.97942387
Multinomial Naive Bayes,word_3_5000,0.928,0.94117647,0.91056911,0.92561984
Multinomial Naive Bayes,word_1_6000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_6000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_6000,0.928,0.94117647,0.91056911,0.92561984
Multinomial Naive Bayes,word_1_7000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_7000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_7000,0.936,0.94957983,0.91869919,0.9338843
Multinomial Naive Bayes,word_1_8000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_8000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_8000,0.928,0.94871795,0.90243902,0.925
Multinomial Naive Bayes,word_1_9000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_9000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_9000,0.936,0.95726496,0.91056911,0.93333334
Multinomial Naive Bayes,word_1_10000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_10000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_10000,0.94,0.96551724,0.91056911,0.9372385
Support Vector Machine,word_1_100,0.936,0.928,0.94308943,0.93548387
Support Vector Machine,word_2_100,0.896,0.87022901,0.92682927,0.8976378
Support Vector Machine,word_3_100,0.84,0.79020979,0.91869919,0.84962406
Support Vector Machine,word_1_500,0.98,0.97580645,0.98373984,0.97975709
Support Vector Machine,word_2_500,0.952,0.95121951,0.95121951,0.95121951
Support Vector Machine,word_3_500,0.932,0.90151515,0.96747967,0.93333333
Support Vector Machine,word_1_1000,0.988,0.99180328,0.98373984,0.9877551
Support Vector Machine,word_2_1000,0.968,0.97520661,0.95934959,0.96721311
Support Vector Machine,word_3_1000,0.932,0.90769231,0.95934959,0.93280632
Support Vector Machine,word_1_2000,0.984,0.98373984,0.98373984,0.98373984
Support Vector Machine,word_2_2000,0.972,0.97540984,0.96747967,0.97142857
Support Vector Machine,word_3_2000,0.928,0.92682927,0.92682927,0.92682927
Support Vector Machine,word_1_3000,0.984,0.98373984,0.98373984,0.98373984
Support Vector Machine,word_2_3000,0.972,0.97540984,0.96747967,0.97142857
Support Vector Machine,word_3_3000,0.92,0.93277311,0.90243902,0.91735537
Support Vector Machine,word_1_4000,0.98,0.98360656,0.97560976,0.97959184
Support Vector Machine,word_2_4000,0.972,0.97540984,0.96747967,0.97142857
Support Vector Machine,word_3_4000,0.924,0.94067797,0.90243902,0.92116183
Support Vector Machine,word_1_5000,0.98,0.98360656,0.97560976,0.97959184
Support Vector Machine,word_2_5000,0.972,0.97540984,0.96747967,0.97142857
Support Vector Machine,word_3_5000,0.92,0.94017094,0.89430894,0.91666666
Support Vector Machine,word_1_6000,0.98,0.98360656,0.97560976,0.97959184
Support Vector Machine,word_2_6000,0.98,0.99166667,0.96747967,0.97942387
Support Vector Machine,word_3_6000,0.916,0.93220339,0.89430894,0.91286307
Support Vector Machine,word_1_7000,0.98,0.98360656,0.97560976,0.97959184
Support Vector Machine,word_2_7000,0.98,0.99166667,0.96747967,0.97942387
Support Vector Machine,word_3_7000,0.924,0.94067797,0.90243902,0.92116183
Support Vector Machine,word_1_8000,0.98,0.98360656,0.97560976,0.97959184
Support Vector Machine,word_2_8000,0.98,0.99166667,0.96747967,0.97942387
Support Vector Machine,word_3_8000,0.916,0.93965517,0.88617886,0.91213389
Support Vector Machine,word_1_9000,0.98,0.98360656,0.97560976,0.97959184
Support Vector Machine,word_2_9000,0.98,0.99166667,0.96747967,0.97942387
Support Vector Machine,word_3_9000,0.916,0.93965517,0.88617886,0.91213389
Support Vector Machine,word_1_10000,0.98,0.98360656,0.97560976,0.97959184
Support Vector Machine,word_2_10000,0.972,0.99152542,0.95121951,0.97095435
Support Vector Machine,word_3_10000,0.92,0.94782609,0.88617886,0.91596639
Decision Tree,word_1_100,0.896,0.88188976,0.91056911,0.896
Decision Tree,word_2_100,0.864,0.83969466,0.89430894,0.86614173
Decision Tree,word_3_100,0.784,0.74125874,0.86178862,0.79699248
Decision Tree,word_1_500,0.892,0.88709677,0.89430894,0.89068826
Decision Tree,word_2_500,0.896,0.87022901,0.92682927,0.8976378
Decision Tree,word_3_500,0.848,0.81481481,0.89430894,0.85271317
Decision Tree,word_1_1000,0.904,0.90243902,0.90243902,0.90243902
Decision Tree,word_2_1000,0.868,0.8358209,0.91056911,0.87159534
Decision Tree,word_3_1000,0.852,0.79861111,0.93495935,0.86142322
Decision Tree,word_1_2000,0.892,0.86923077,0.91869919,0.89328063
Decision Tree,word_2_2000,0.864,0.83458647,0.90243902,0.8671875
Decision Tree,word_3_2000,0.836,0.78873239,0.91056911,0.84528302
Decision Tree,word_1_3000,0.94,0.93548387,0.94308943,0.93927125
Decision Tree,word_2_3000,0.884,0.84558824,0.93495935,0.88803089
Decision Tree,word_3_3000,0.832,0.78321678,0.91056911,0.84210526
Decision Tree,word_1_4000,0.912,0.89147287,0.93495935,0.91269841
Decision Tree,word_2_4000,0.876,0.84848485,0.91056911,0.87843138
Decision Tree,word_3_4000,0.844,0.79577465,0.91869919,0.85283019
Decision Tree,word_1_5000,0.912,0.89147287,0.93495935,0.91269841
Decision Tree,word_2_5000,0.848,0.81481481,0.89430894,0.85271317
Decision Tree,word_3_5000,0.836,0.78873239,0.91056911,0.84528302
Decision Tree,word_1_6000,0.924,0.91935484,0.92682927,0.92307692
Decision Tree,word_2_6000,0.848,0.82442748,0.87804878,0.8503937
Decision Tree,word_3_6000,0.848,0.8057554,0.91056911,0.85496184
Decision Tree,word_1_7000,0.912,0.88549618,0.94308943,0.91338582
Decision Tree,word_2_7000,0.864,0.84496124,0.88617886,0.86507936
Decision Tree,word_3_7000,0.832,0.79562044,0.88617886,0.83846154
Decision Tree,word_1_8000,0.924,0.90625,0.94308943,0.92430279
Decision Tree,word_2_8000,0.864,0.82481752,0.91869919,0.86923077
Decision Tree,word_3_8000,0.836,0.79285714,0.90243902,0.84410646
Decision Tree,word_1_9000,0.924,0.9,0.95121951,0.92490118
Decision Tree,word_2_9000,0.86,0.82352941,0.91056911,0.86486487
Decision Tree,word_3_9000,0.832,0.78723404,0.90243902,0.84090909
Decision Tree,word_1_10000,0.924,0.90625,0.94308943,0.92430279
Decision Tree,word_2_10000,0.872,0.84210526,0.91056911,0.875
Decision Tree,word_3_10000,0.832,0.78723404,0.90243902,0.84090909
Random Forest,word_1_100,0.976,0.968,0.98373984,0.97580645
Random Forest,word_2_100,0.908,0.87878788,0.94308943,0.90980392
Random Forest,word_3_100,0.84,0.77483444,0.95121951,0.8540146
Random Forest,word_1_500,0.972,0.953125,0.99186992,0.97211155
Random Forest,word_2_500,0.912,0.88549618,0.94308943,0.91338582
Random Forest,word_3_500,0.892,0.85820896,0.93495935,0.89494164
Random Forest,word_1_1000,0.972,0.953125,0.99186992,0.97211155
Random Forest,word_2_1000,0.924,0.87681159,0.98373984,0.92720306
Random Forest,word_3_1000,0.904,0.86666667,0.95121951,0.90697675
Random Forest,word_1_2000,0.976,0.968,0.98373984,0.97580645
Random Forest,word_2_2000,0.916,0.86428571,0.98373984,0.92015209
Random Forest,word_3_2000,0.916,0.86428571,0.98373984,0.92015209
Random Forest,word_1_3000,0.956,0.9375,0.97560976,0.9561753
Random Forest,word_2_3000,0.912,0.85815603,0.98373984,0.91666667
Random Forest,word_3_3000,0.896,0.82993197,0.99186992,0.9037037
Random Forest,word_1_4000,0.976,0.96062992,0.99186992,0.976
Random Forest,word_2_4000,0.924,0.86619718,1.0,0.92830189
Random Forest,word_3_4000,0.896,0.83448276,0.98373984,0.90298508
Random Forest,word_1_5000,0.972,0.94615385,1.0,0.97233202
Random Forest,word_2_5000,0.916,0.875,0.96747967,0.91891892
Random Forest,word_3_5000,0.908,0.85211268,0.98373984,0.91320755
Random Forest,word_1_6000,0.98,0.9609375,1.0,0.98007968
Random Forest,word_2_6000,0.908,0.85714286,0.97560976,0.91254753
Random Forest,word_3_6000,0.924,0.88235294,0.97560976,0.92664093
Random Forest,word_1_7000,0.976,0.96062992,0.99186992,0.976
Random Forest,word_2_7000,0.916,0.875,0.96747967,0.91891892
Random Forest,word_3_7000,0.892,0.82876712,0.98373984,0.89962825
Random Forest,word_1_8000,0.976,0.96062992,0.99186992,0.976
Random Forest,word_2_8000,0.912,0.85815603,0.98373984,0.91666667
Random Forest,word_3_8000,0.896,0.83916084,0.97560976,0.90225564
Random Forest,word_1_9000,0.964,0.93846154,0.99186992,0.96442688
Random Forest,word_2_9000,0.896,0.83916084,0.97560976,0.90225564
Random Forest,word_3_9000,0.9,0.83561644,0.99186992,0.9070632
Random Forest,word_1_10000,0.968,0.9389313,1.0,0.96850394
Random Forest,word_2_10000,0.904,0.85106383,0.97560976,0.90909091
Random Forest,word_3_10000,0.9,0.83561644,0.99186992,0.9070632
Multi-layer Perceptron,word_1_100,0.94,0.92857143,0.95121951,0.93975904
Multi-layer Perceptron,word_2_100,0.9,0.87121212,0.93495935,0.90196078
Multi-layer Perceptron,word_3_100,0.844,0.78767123,0.93495935,0.85501859
Multi-layer Perceptron,word_1_500,0.96,0.96694215,0.95121951,0.95901639
Multi-layer Perceptron,word_2_500,0.936,0.93495935,0.93495935,0.93495935
