model,feature_matrix,accuracy,precision,recall,f1_score
KNN,word_1_100,0.904,0.88489209,0.9389313,0.91111111
KNN,word_2_100,0.888,0.84563758,0.96183206,0.9
KNN,word_3_100,0.844,0.94230769,0.7480916,0.83404255
KNN,word_1_500,0.932,0.91304348,0.96183206,0.93680297
KNN,word_2_500,0.808,0.74269006,0.96946565,0.8410596
KNN,word_3_500,0.856,0.92792793,0.78625954,0.85123967
KNN,word_1_1000,0.916,0.86184211,1.0,0.92579506
KNN,word_2_1000,0.78,0.71111111,0.97709924,0.82315113
KNN,word_3_1000,0.832,0.8677686,0.80152672,0.83333334
KNN,word_1_2000,0.84,0.76608187,1.0,0.86754967
KNN,word_2_2000,0.724,0.65656566,0.99236641,0.79027356
KNN,word_3_2000,0.82,0.85245902,0.79389313,0.82213439
KNN,word_1_3000,0.812,0.73595506,1.0,0.84789644
KNN,word_2_3000,0.672,0.61611374,0.99236641,0.76023391
KNN,word_3_3000,0.808,0.82677165,0.80152672,0.81395349
KNN,word_1_4000,0.8,0.72375691,1.0,0.83974359
KNN,word_2_4000,0.676,0.61792453,1.0,0.7638484
KNN,word_3_4000,0.856,0.86821705,0.85496183,0.86153846
KNN,word_1_5000,0.788,0.71195652,1.0,0.83174603
KNN,word_2_5000,0.676,0.61792453,1.0,0.7638484
KNN,word_3_5000,0.856,0.87401575,0.84732824,0.86046512
KNN,word_1_6000,0.792,0.71584699,1.0,0.8343949
KNN,word_2_6000,0.652,0.60091743,1.0,0.75071633
KNN,word_3_6000,0.812,0.79166667,0.87022901,0.82909091
KNN,word_1_7000,0.792,0.71584699,1.0,0.8343949
KNN,word_2_7000,0.664,0.60930233,1.0,0.75722544
KNN,word_3_7000,0.808,0.79020979,0.86259542,0.82481752
KNN,word_1_8000,0.792,0.71584699,1.0,0.8343949
KNN,word_2_8000,0.62,0.58108108,0.98473282,0.73087818
KNN,word_3_8000,0.812,0.78378378,0.88549618,0.83154122
KNN,word_1_9000,0.792,0.71584699,1.0,0.8343949
KNN,word_2_9000,0.612,0.57589286,0.98473282,0.72676056
KNN,word_3_9000,0.816,0.7972028,0.87022901,0.83211679
KNN,word_1_10000,0.792,0.71584699,1.0,0.8343949
KNN,word_2_10000,0.62,0.57964602,1.0,0.73389356
KNN,word_3_10000,0.8,0.86486486,0.73282443,0.79338843
Logistic Regression,word_1_100,0.908,0.93548387,0.88549618,0.90980392
Logistic Regression,word_2_100,0.912,0.94308943,0.88549618,0.91338582
Logistic Regression,word_3_100,0.88,0.93162393,0.83206107,0.87903226
Logistic Regression,word_1_500,0.972,0.99206349,0.95419847,0.97276264
Logistic Regression,word_2_500,0.956,0.96875,0.94656489,0.95752896
Logistic Regression,word_3_500,0.912,0.86577181,0.98473282,0.92142857
Logistic Regression,word_1_1000,0.976,0.99212598,0.96183206,0.97674418
Logistic Regression,word_2_1000,0.964,0.96212121,0.96946565,0.96577947
Logistic Regression,word_3_1000,0.92,0.87755102,0.98473282,0.92805755
Logistic Regression,word_1_2000,0.984,0.99224806,0.97709924,0.98461539
Logistic Regression,word_2_2000,0.968,0.96946565,0.96946565,0.96946565
Logistic Regression,word_3_2000,0.928,0.88435374,0.99236641,0.9352518
Logistic Regression,word_1_3000,0.976,0.99212598,0.96183206,0.97674418
Logistic Regression,word_2_3000,0.976,0.96992481,0.98473282,0.97727272
Logistic Regression,word_3_3000,0.928,0.88435374,0.99236641,0.9352518
Logistic Regression,word_1_4000,0.98,0.9921875,0.96946565,0.98069498
Logistic Regression,word_2_4000,0.98,0.97727273,0.98473282,0.98098859
Logistic Regression,word_3_4000,0.932,0.89041096,0.99236641,0.93862816
Logistic Regression,word_1_5000,0.98,0.9921875,0.96946565,0.98069498
Logistic Regression,word_2_5000,0.98,0.97727273,0.98473282,0.98098859
Logistic Regression,word_3_5000,0.932,0.89041096,0.99236641,0.93862816
Logistic Regression,word_1_6000,0.98,0.9921875,0.96946565,0.98069498
Logistic Regression,word_2_6000,0.98,0.97727273,0.98473282,0.98098859
Logistic Regression,word_3_6000,0.936,0.89655172,0.99236641,0.94202898
Logistic Regression,word_1_7000,0.98,0.9921875,0.96946565,0.98069498
