model,feature_matrix,accuracy,precision,recall,f1_score
KNN,word_1_100,0.908,0.87692308,0.94214876,0.90836654
KNN,word_2_100,0.792,0.73154362,0.90082645,0.80740741
KNN,word_3_100,0.704,0.84057971,0.47933884,0.61052631
KNN,word_1_500,0.884,0.84848485,0.92561983,0.88537549
KNN,word_2_500,0.632,0.56872038,0.99173554,0.72289157
KNN,word_3_500,0.772,0.69277108,0.95041322,0.80139372
KNN,word_1_1000,0.92,0.88549618,0.95867769,0.92063492
KNN,word_2_1000,0.544,0.51489362,1.0,0.67977528
KNN,word_3_1000,0.688,0.61025641,0.98347107,0.75316456
KNN,word_1_2000,0.9,0.83802817,0.98347107,0.90494296
KNN,word_2_2000,0.5,0.49186992,1.0,0.65940055
KNN,word_3_2000,0.628,0.56666667,0.98347107,0.71903323
KNN,word_1_3000,0.876,0.80821918,0.97520661,0.88389513
KNN,word_2_3000,0.496,0.48987854,1.0,0.65760869
KNN,word_3_3000,0.592,0.543379,0.98347107,0.7
KNN,word_1_4000,0.868,0.79333333,0.98347107,0.87822878
KNN,word_2_4000,0.496,0.48987854,1.0,0.65760869
KNN,word_3_4000,0.56,0.52466368,0.96694215,0.68023256
KNN,word_1_5000,0.872,0.79865772,0.98347107,0.88148148
KNN,word_2_5000,0.492,0.48790323,1.0,0.65582656
KNN,word_3_5000,0.564,0.52727273,0.95867769,0.68035191
KNN,word_1_6000,0.872,0.79865772,0.98347107,0.88148148
KNN,word_2_6000,0.492,0.48790323,1.0,0.65582656
KNN,word_3_6000,0.564,0.52777778,0.94214876,0.67655787
KNN,word_1_7000,0.872,0.79865772,0.98347107,0.88148148
KNN,word_2_7000,0.492,0.48790323,1.0,0.65582656
KNN,word_3_7000,0.552,0.52017937,0.95867769,0.6744186
KNN,word_1_8000,0.872,0.79865772,0.98347107,0.88148148
KNN,word_2_8000,0.492,0.48790323,1.0,0.65582656
KNN,word_3_8000,0.58,0.53703704,0.95867769,0.6884273
